Created Date,Descriptor,City,Latitude,Longitude,Location
10/31/2015 07:28:06 PM,Loud Music/Party,ARVERNE,40.59033191373012,-73.78872434248072,POINT (-73.78872434248072 40.59033191373012)
10/30/2015 11:21:30 PM,Loud Music/Party,ASTORIA,40.76755508393814,-73.91202520999381,POINT (-73.91202520999381 40.76755508393814)
10/31/2015 12:04:08 AM,Loud Music/Party,ASTORIA,40.76038750335504,-73.92199029393608,POINT (-73.92199029393608 40.76038750335504)
10/31/2015 11:50:44 PM,Loud Music/Party,ASTORIA,40.76969895039884,-73.93272703456458,POINT (-73.93272703456458 40.76969895039884)
10/30/2015 11:43:33 PM,Loud Music/Party,ASTORIA,40.75729855854012,-73.92037322099308,POINT (-73.92037322099308 40.75729855854012)
10/31/2015 11:04:55 PM,Loud Music/Party,ASTORIA,40.756291977616634,-73.92558654393503,POINT (-73.92558654393503 40.756291977616634)
10/31/2015 05:56:10 AM,Loud Music/Party,ASTORIA,40.76009736441461,-73.91917506192272,POINT (-73.91917506192272 40.76009736441461)
10/31/2015 09:36:13 PM,Loud Music/Party,ASTORIA,40.76969895039884,-73.93272703456458,POINT (-73.93272703456458 40.76969895039884)
10/31/2015 09:19:24 AM,Loud Music/Party,ASTORIA,40.770294460729424,-73.92375493715544,POINT (-73.92375493715544 40.770294460729424)
11/01/2015 12:53:57 AM,Loud Music/Party,ASTORIA,40.76979072335344,-73.92573753162695,POINT (-73.92573753162695 40.76979072335344)
10/31/2015 11:48:13 PM,Loud Music/Party,ASTORIA,40.769873422034465,-73.93071595633613,POINT (-73.93071595633613 40.769873422034465)
10/31/2015 11:46:49 PM,Loud Music/Party,ASTORIA,40.76113604196053,-73.92495303319527,POINT (-73.92495303319527 40.76113604196053)
11/01/2015 01:20:48 AM,Loud Music/Party,ASTORIA,40.771371247451334,-73.92094126625138,POINT (-73.92094126625138 40.771371247451334)
10/30/2015 11:09:11 PM,Loud Music/Party,ASTORIA,40.760188515843495,-73.93289546742743,POINT (-73.93289546742743 40.760188515843495)
11/01/2015 01:33:59 AM,Loud Music/Party,ASTORIA,40.758158204882704,-73.91724627762542,POINT (-73.91724627762542 40.758158204882704)
10/30/2015 07:27:14 PM,Loud Music/Party,ASTORIA,40.758297080909266,-73.91955986508837,POINT (-73.91955986508837 40.758297080909266)
10/31/2015 12:39:30 AM,Loud Music/Party,ASTORIA,40.768813944594676,-73.91075637379026,POINT (-73.91075637379026 40.768813944594676)
10/31/2015 11:41:31 PM,Loud Music/Party,ASTORIA,40.772797834693186,-73.91610164205625,POINT (-73.91610164205625 40.772797834693186)
10/31/2015 12:33:48 AM,Loud Music/Party,ASTORIA,40.75729855854012,-73.92037322099308,POINT (-73.92037322099308 40.75729855854012)
10/30/2015 01:13:21 AM,Loud Music/Party,ASTORIA,40.77104287701152,-73.92659899715635,POINT (-73.92659899715635 40.77104287701152)
10/31/2015 08:08:18 AM,Loud Music/Party,ASTORIA,40.770294460729424,-73.92375493715544,POINT (-73.92375493715544 40.770294460729424)
10/31/2015 01:44:12 AM,Loud Music/Party,ASTORIA,40.767541351971644,-73.9120143977993,POINT (-73.9120143977993 40.767541351971644)
11/01/2015 12:43:07 AM,Loud Music/Party,ASTORIA,40.771371247451334,-73.92094126625138,POINT (-73.92094126625138 40.771371247451334)
10/31/2015 11:03:03 PM,Loud Music/Party,ASTORIA,40.77298742888491,-73.91638662529654,POINT (-73.91638662529654 40.77298742888491)
10/31/2015 11:34:25 PM,Loud Music/Party,ASTORIA,40.76098958340112,-73.93221602635003,POINT (-73.93221602635003 40.76098958340112)
10/31/2015 12:00:38 AM,Loud Music/Party,ASTORIA,40.77997178357742,-73.90787084511216,POINT (-73.90787084511216 40.77997178357742)
11/01/2015 12:16:16 AM,Loud Music/Party,ASTORIA,40.770962609948135,-73.92142192077769,POINT (-73.92142192077769 40.770962609948135)
11/01/2015 12:15:05 AM,Loud Music/Party,ASTORIA,40.769059607112844,-73.9284712629824,POINT (-73.9284712629824 40.769059607112844)
10/31/2015 03:43:16 AM,Loud Music/Party,ASTORIA,40.77301745928226,-73.91247290528463,POINT (-73.91247290528463 40.77301745928226)
10/31/2015 03:39:10 AM,Loud Music/Party,ASTORIA,40.76193294264724,-73.91084500934117,POINT (-73.91084500934117 40.76193294264724)
10/30/2015 11:55:11 PM,Loud Music/Party,ASTORIA,40.775789861408725,-73.90248606662297,POINT (-73.90248606662297 40.775789861408725)
11/01/2015 12:11:41 AM,Loud Music/Party,ASTORIA,40.775789861408725,-73.90248606662297,POINT (-73.90248606662297 40.775789861408725)
